Back,,,,Chrome,Firefox,IE,,,,,,
ID_026,,Kiểm tra thu hẹp/ mở rộng menu trái,"- Collapse menu → Thu hẹp menu
- Expand menu → Mở rộng menu","- Thu hẹp menu: (Collapse): Màn hình tự đẩy về phía trái, và thứ tự các field vẫn không thay đổi
- Mở rộng menu (Expand): Màn hình tự đẩy về phái phải và thứ tự các field vẫn không thay đổi",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_027, CREATE NEW ,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 1 ""Thông tin chung""","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"":
+ ""Mã báo giá"" = BG-20260401-001
+ ""Người phụ trách"" = Nguyễn Văn A
+ ""Tên báo giá"" = Báo giá cung cấp đường RE cho nhà máy sản xuất bánh kẹo Q2/2026
+ ""Mô tả"" = Cung cấp đường tinh luyện RE số lượng lớn, giao theo từng đợt trong tháng
+ ""Ghi chú"" = Giá đã bao gồm chiết khấu 3 phần trăm cho hợp đồng 100 tấn
+ ""Số báo giá"" = BG-RE-0426-001
+ ""Loại báo giá"" = Other Contract
+ ""Khách hàng"" = Công ty CP Bánh Kẹo Hữu Nghị
+ ""Tiền tệ"" = Đồng
+ ""Bảng giá"" = Bảng giá ngành FMCG miền Bắc Q2.2026
+ ""Sales phụ trách"" = Trần Minh B
+ ""Ngày báo giá"" = 13/04/2026
+ ""Hiệu lực từ"" = 15/04/2026
+ ""Hiệu lực đến"" = 30/06/2026
+ ""Tạo hợp đồng"" = Có
+ ""BU xuất hàng"" = BHS

- Group 2 ""Thông tin khách hàng"": N/A
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hóa đơn"": <xem ID_0xx>
- Group 5 ""Thông tin vận chuyển"":
- Group 6 ""Thông tin bốc xếp"":
- Chọn button ""Thêm báo giá""","- Hệ thống thông báo - Toast message: ""<icon success> Đã thêm báo giá thành công""
- Chọn button ""Thêm báo giá"", hệ thống đóng màn hình ""Thêm báo giá"" và direct về page ""Quản lý báo giá""

- Lưu trữ thành công vào:
+ Database: digiretail_sale_process
+ Schemas: bhc
+ Table: ""Quotations""
+ WHERE ""IsDeleted"" = false""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,chưa đủ field => chưa test
ID_028,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 2 ""Thông tin khách hàng""","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"": <xem ID_014>
- Group 2 ""Thông tin khách hàng"": N/A
+ ""Tên khách hàng"" = Nguyễn Văn A
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hóa đơn"": <xem ID_0xx>
- Group 5 ""Thông tin vận chuyển"": <xem ID_0xx>
- Group 6 ""Thông tin bốc xếp"": <xem ID_0xx>
- Chọn button ""Thêm báo giá""","- Field ""Tên khách hàng"" là readonly
- Load theo ""Khách hàng"" được chọn",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,chưa đủ field => chưa test
ID_029,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 3 ""Thông tin thanh toán"" <Hidden on create>",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,chưa đủ field => chưa test
ID_030,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 4 ""Thông tin xuất hóa đơn""","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"": <xem ID_014>
- Group 2 ""Thông tin khách hàng"": <xem ID_015>
- Group 3 ""Thông tin thanh toán"": <Hidden on create> <xem ID_016>
- Group 4 ""Thông tin xuất hóa đơn"":
+ ""Ngân hàng tham chiếu tỷ giá"" = Ngân hàng TMCP Ngoại thương Việt Nam (Vietcombank)
+ ""Tỷ giá tham chiếu"" = 1 (VND)
+ ""Tài khoản xuất hóa đơn"" = CTY_CP_DUONG_MIEN_BAC_0101234567
- Group 5 ""Thông tin vận chuyển"": <xem ID_018>
- Group 6 ""Thông tin bốc xếp"": <xem ID_019>
- Chọn button ""Thêm báo giá""","- Hệ thống thông báo - Toast message: ""<icon success> Đã thêm báo giá thành công""
- Chọn button ""Thêm báo giá"", hệ thống đóng màn hình ""Thêm báo giá"" và direct về page ""Quản lý báo giá""

- Lưu trữ thành công vào:
+ Database: digiretail_sale_process
+ Schemas: bhc
+ Table: ""Quotations""
+ WHERE ""IsDeleted"" = false""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,chưa đủ field => chưa test
ID_031,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 5 ""Thông tin vận chuyển""
Trường hợp ""WMS"" = false và ""Yêu cầu vận chuyển"" = false","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"": <xem ID_014>
- Group 2 ""Thông tin khách hàng"": <xem ID_015>
- Group 3 ""Thông tin thanh toán"": <Hidden on create> <xem ID_016>
- Group 4 ""Thông tin xuất hóa đơn"": <xem ID_017>
- Group 5 ""Thông tin vận chuyển"":
+ ""Kho WMS"" = false
+ ""Kho xuất hàng"" = 
+ ""Tổ chức xuất hàng"" = 
+ ""Địa chỉ giao hàng"" =
+ ""Giao hàng từ ngày"" = 
+ ""Giao hàng đến ngày"" = 
+ ""Ngày giao hàng"" = 
+ ""Ngày nhận hàng dự kiến"" = 
+ ""Người nhận hàng"" = 
+ ""Yêu cầu vận chuyển"" = false
- Group 6 ""Thông tin bốc xếp"": <xem ID_019>
- Chọn button ""Thêm báo giá""","- Hệ thống thông báo - Toast message: ""<icon success> Đã thêm báo giá thành công""
- Chọn button ""Thêm báo giá"", hệ thống đóng màn hình ""Thêm báo giá"" và direct về page ""Quản lý báo giá""

- Lưu trữ thành công vào:
+ Database: digiretail_sale_process
+ Schemas: bhc
+ Table: ""Quotations""
+ WHERE ""IsDeleted"" = false""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,chưa đủ field => chưa test
ID_032,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 5 ""Thông tin vận chuyển""
Trường hợp ""WMS"" = false và ""Yêu cầu vận chuyển"" = true","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"": <xem ID_014>
- Group 2 ""Thông tin khách hàng"": <xem ID_015>
- Group 3 ""Thông tin thanh toán"": <Hidden on create> <xem ID_016>
- Group 4 ""Thông tin xuất hóa đơn"": <xem ID_017>
- Group 5 ""Thông tin vận chuyển"":
+ ""Kho WMS"" = false
+ ""Kho xuất hàng"" = 
+ ""Tổ chức xuất hàng"" = 
+ ""Địa chỉ giao hàng"" =
+ ""Giao hàng từ ngày"" = 
+ ""Giao hàng đến ngày"" = 
+ ""Ngày giao hàng"" = 
+ ""Ngày nhận hàng dự kiến"" = 
+ ""Người nhận hàng"" = 
+ ""Yêu cầu vận chuyển"" = true
+ ""Phương thức giao hàng"" = 
+ ""Xe vận chuyển"" = 
+ ""Đơn vị vận chuyển"" = 
+ ""Đối tác vận chuyển"" = 
+ ""Bảng giá vận chuyển"" = 
- Group 6 ""Thông tin bốc xếp"": <xem ID_019>
- Chọn button ""Thêm báo giá""","- Hệ thống thông báo - Toast message: ""<icon success> Đã thêm báo giá thành công""
- Chọn button ""Thêm báo giá"", hệ thống đóng màn hình ""Thêm báo giá"" và direct về page ""Quản lý báo giá""

- Lưu trữ thành công vào:
+ Database: digiretail_sale_process
+ Schemas: bhc
+ Table: ""Quotations""
+ WHERE ""IsDeleted"" = false""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_033,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 5 ""Thông tin vận chuyển""
Trường hợp ""WMS"" = true và ""Yêu cầu vận chuyển"" = false","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"": <xem ID_014>
- Group 2 ""Thông tin khách hàng"": <xem ID_015>
- Group 3 ""Thông tin thanh toán"": <Hidden on create> <xem ID_016>
- Group 4 ""Thông tin xuất hóa đơn"": <xem ID_017>
- Group 5 ""Thông tin vận chuyển"":
+ ""Kho WMS"" = true
+ ""Kho xuất hàng"" = 
+ ""Đơn vị tổ chức giao hàng"" = 
+ ""Tổ chức xuất hàng"" = 
+ ""Kho xuất hàng"" = 
+ ""Địa chỉ giao hàng"" =
+ ""Giao hàng từ ngày"" = 
+ ""Giao hàng đến ngày"" = 
+ ""Ngày giao hàng"" = 
+ ""Ngày nhận hàng dự kiến"" = 
+ ""Người nhận hàng"" = 
+ ""Yêu cầu vận chuyển"" = false
- Group 6 ""Thông tin bốc xếp"": <xem ID_019>
- Chọn button ""Thêm báo giá""","- Hệ thống thông báo - Toast message: ""<icon success> Đã thêm báo giá thành công""
- Chọn button ""Thêm báo giá"", hệ thống đóng màn hình ""Thêm báo giá"" và direct về page ""Quản lý báo giá""

- Lưu trữ thành công vào:
+ Database: digiretail_sale_process
+ Schemas: bhc
+ Table: ""Quotations""
+ WHERE ""IsDeleted"" = false""",7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_034,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 5 ""Thông tin vận chuyển""
Trường hợp ""WMS"" = true và ""Yêu cầu vận chuyển"" = true","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"": <xem ID_014>
- Group 2 ""Thông tin khách hàng"": <xem ID_015>
- Group 3 ""Thông tin thanh toán"": <Hidden on create> <xem ID_016>
- Group 4 ""Thông tin xuất hóa đơn"": <xem ID_017>
- Group 5 ""Thông tin vận chuyển"":
+ ""Kho WMS"" = true
+ ""Kho xuất hàng"" = 
+ ""Đơn vị tổ chức giao hàng"" = 
+ ""Tổ chức xuất hàng"" = 
+ ""Kho xuất hàng"" = 
+ ""Địa chỉ giao hàng"" =
+ ""Giao hàng từ ngày"" = 
+ ""Giao hàng đến ngày"" = 
+ ""Ngày giao hàng"" = 
+ ""Ngày nhận hàng dự kiến"" = 
+ ""Người nhận hàng"" = 
+ ""Yêu cầu vận chuyển"" = true
+ ""Phương thức giao hàng"" = 
+ ""Xe vận chuyển"" = 
+ ""Đơn vị vận chuyển"" = 
+ ""Đối tác vận chuyển"" = 
+ ""Bảng giá vận chuyển"" = 
- Group 6 ""Thông tin bốc xếp"": <xem ID_019>
- Chọn button ""Thêm báo giá""","- Hệ thống thông báo - Toast message: ""<icon success> Đã thêm báo giá thành công""
- Chọn button ""Thêm báo giá"", hệ thống đóng màn hình ""Thêm báo giá"" và direct về page ""Quản lý báo giá""

- Lưu trữ thành công vào:
+ Database: digiretail_sale_process
+ Schemas: bhc
+ Table: ""Quotations""
+ WHERE ""IsDeleted"" = false""",7-Apr-26,,,,,7-Apr-26,DUYENNTM,
ID_035,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 6 ""Thông tin bốc xếp""
Trường hợp ""Yêu cầu bốc xếp"" = false","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"": <xem ID_014>
- Group 2 ""Thông tin khách hàng"": N/A
- Group 3 ""Thông tin thanh toán"": <Hidden on create> <xem ID_015>
- Group 4 ""Thông tin xuất hóa đơn"": <xem ID_016>
- Group 5 ""Thông tin vận chuyển"": <xem ID_017, ID_018, ID_019, ID_020>
- Group 6 ""Thông tin bốc xếp"":
+ ""Yêu cầu bốc xếp"" = false
- Chọn button ""Thêm báo giá""","- Hệ thống thông báo - Toast message: ""<icon success> Đã thêm báo giá thành công""
- Chọn button ""Thêm báo giá"", hệ thống đóng màn hình ""Thêm báo giá"" và direct về page ""Quản lý báo giá""

- Lưu trữ thành công vào:
+ Database: digiretail_sale_process
+ Schemas: bhc
+ Table: ""Quotations""
+ WHERE ""IsDeleted"" = false""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_036,,"Kiểm tra thêm mới dữ liệu ""Báo giá""
Group 6 ""Thông tin bốc xếp""
Trường hợp ""Yêu cầu bốc xếp"" = true","- ""Ngày tạo"" = 10/03/2026
- ""Người tạo"" = duyenntm@msm.com.vn

- Nhập/ chọn dữ liệu:
- Group 1 ""Thông tin chung"": <xem ID_014>
- Group 2 ""Thông tin khách hàng"": N/A
- Group 3 ""Thông tin thanh toán"": <Hidden on create> <xem ID_015>
- Group 4 ""Thông tin xuất hóa đơn"": <xem ID_016>
- Group 5 ""Thông tin vận chuyển"": <xem ID_017, ID_018, ID_019, ID_020>
- Group 6 ""Thông tin bốc xếp"":
+ ""Yêu cầu bốc xếp"" = true
+ ""Phương thức bốc xếp"" = 
+ ""Bảng giá bốc xếp"" = 
- Chọn button ""Thêm báo giá""","- Hệ thống thông báo - Toast message: ""<icon success> Đã thêm báo giá thành công""
- Chọn button ""Thêm báo giá"", hệ thống đóng màn hình ""Thêm báo giá"" và direct về page ""Quản lý báo giá""

- Lưu trữ thành công vào:
+ Database: digiretail_sale_process
+ Schemas: bhc
+ Table: ""Quotations""
+ WHERE ""IsDeleted"" = false""",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_037,,"Kiểm tra 1 ""Khách hàng"" thuộc nhiều ""Báo giá"" khác nhau",Thêm mới báo giá,"Cho phép 1 ""Khách hàng"" thuộc nhiều ""Báo giá"" khác nhau, không ràng buộc thời gian",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_038,,"Kiểm tra độ dài ""Mã báo giá"" tối đa 60 ký tự (Chuỗi ký tự ngắn)
Group 1 ""Thông tin chung""",Nhập/Paste giá trị vượt quá 60 ký tự,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Mã báo giá không được vượt quá 60 ký tự""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_039,,"Kiểm tra độ dài ""Tên báo giá"" tối đa 60 ký tự (Chuỗi ký tự ngắn)
Group 1 ""Thông tin chung""",Nhập/Paste giá trị vượt quá 60 ký tự,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Tên báo giá không được vượt quá 60 ký tự""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_040,,"Kiểm tra độ dài ""Số báo giá"" tối đa 60 ký tự (Chuỗi ký tự ngắn)
Group 1 ""Thông tin chung""",Nhập/Paste giá trị vượt quá 60 ký tự,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Số báo giá không được vượt quá 60 ký tự""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_041,,"Kiểm tra độ dài ""Mô tả"" tối đa 300 ký tự (Chuỗi ký tự)
Group 1 ""Thông tin chung""",Nhập/Paste giá trị vượt quá 300 ký tự,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Mô tả không được vượt quá 300 ký tự""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_042,,"Kiểm tra độ dài ""Ghi chú"" tối đa 300 ký tự (Chuỗi ký tự)
Group 1 ""Thông tin chung""",Nhập/Paste giá trị vượt quá 300 ký tự,"- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Ghi chú không được vượt quá 300 ký tự""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_043,,"Kiểm tra độ dài ""Tên khách hàng"" tối đa 300 ký tự (Chuỗi ký tự)
Group 2 ""Thông tin khách hàng""",Nhập/Paste giá trị vượt quá 300 ký tự,"- Field là readonly
- Mặc định load dữ liệu theo ""Khách hàng"" được chọn",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
ID_044,,"Kiểm tra độ dài tối đa ký tự
Group 3 ""Thông tin thanh toán""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_045,,"Kiểm tra độ dài ""Tên xuất hóa đơn"" tối đa 300 ký tự (Chuỗi ký tự)
Group 4 ""Thông tin xuất hóa đơn""",Nhập/Paste giá trị vượt quá 300 ký tự,"- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_046,,"Kiểm tra độ dài ""Địa chỉ xuất hóa đơn"" tối đa 300 ký tự (Chuỗi ký tự)
Group 4 ""Thông tin xuất hóa đơn""",Nhập/Paste giá trị vượt quá 300 ký tự,"- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_047,,"Kiểm tra độ dài ""Mã số thuế xuất hóa đơn"" tối đa 60 ký tự (Chuỗi ký tự ngắn)
Group 4 ""Thông tin xuất hóa đơn""",Nhập/Paste giá trị vượt quá 60 ký tự,"- Field là readonly
- Mặc định load dữ liệu theo ""Tài khoản xuất hóa đơn"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_048,,"Kiểm tra độ dài ""Địa chỉ kho xuất hàng"" tối đa 300 ký tự (Chuỗi ký tự)
Group 5 ""Thông tin vận chuyển""",Nhập/Paste giá trị vượt quá 300 ký tự,"- Field là readonly
- Mặc định load dữ liệu theo ""Kho xuất hàng"" được chọn",7-Apr-26,,F,,,7-Apr-26,DUYENNTM,
ID_049,,"Kiểm tra độ dài tối đa ký tự
Group 6 ""Thông tin bốc xếp""",N/A,N/A,7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_050,,"Kiểm tra field required, user chọn/ nhập",,"- Group 1 ""Thông tin chung"": Các field ""Mã báo giá"", ""Người phụ trách"", ""Tên báo giá"", ""Loại báo giá"", ""Khách hàng"", ""Tiền tệ"", ""Bảng giá"", ""Ngày báo giá"", ""Hiệu lực từ"", ""Hiệu lực đến"", ""Pháp nhân bán hàng"" là required
- Group 2 ""Thông tin khách hàng"": N/A
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hóa đơn"": N/A
- Group 5 ""Thông tin vận chuyển"": Các field ""Đơn vị tổ chức giao hàng"" (required khi ""WMS"" = Check), ""Tổ chức xuất hàng"" (required khi ""WMS"" = Check), ""Kho xuất hàng"" (required khi ""WMS"" = Check), ""Địa chỉ giao hàng"", ""Giao hàng từ ngày"", ""Giao hàng đến ngày"", ""Người nhận hàng"" là field required
- Group 6 ""Thông tin bốc xếp"": Các field ""Phương thức bốc xếp"" (required khi ""Yêu cầu bốc xếp"" = Check), ""Bảng giá bốc xếp"" (required khi ""Yêu cầu bốc xếp"" = Check) là field required",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_051,,"Kiểm tra field required, hệ thống mặc định",,"- Group 1 ""Thông tin chung"": Field ""Số thập phân của giá"" là required
- Group 2 ""Thông tin khách hàng"": Các field ""Tên khách hàng"", ""Mã khách hàng"" là field
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hóa đơn"": N/A
- Group 5 ""Thông tin vận chuyển"": Field ""Địa chỉ kho xuất hàng"" là field required
- Group 6 ""Thông tin bốc xếp"": N/A",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_052,,Kiểm tra field not required,,"- Group 1 ""Thông tin chung"": Các field ""Người xử lý"", ""Mô tả"", ""Ghi chú"", ""Số báo giá"", ""Sales phụ trách"" là not required
- Group 2 ""Thông tin khách hàng"": N/A
- Group 3 ""Thông tin thanh toán"": <Hidden on create>
- Group 4 ""Thông tin xuất hóa đơn"": Tất cả các field là not required
- Group 5 ""Thông tin vận chuyển"": Các field ""Kho WMS"", ""Đơn vị tổ chức giao hàng"" (not required khi ""Kho WMNS"" = Uncheck), ""Tổ chức xuất hàng"" (not required khi ""Kho WMNS"" = Uncheck), ""Ngày giao hàng"", ""Ngày nhận hàng dự kiến"", ""Yêu cầu vận chuyển"", ""Phương thức giao hàng"" (not required khi ""Yêu cầu vận chuyển"" = Uncheck), ""Xe vận chuyển"" (not required khi ""Phương thức giao hàng"" <> Trip), ""Đơn vị vận chuyển"" (not required khi ""Yêu cầu vận chuyển"" = Uncheck, ""Đối tác vận chuyển"", ""Mã đơn vị vận chuyển"", ""Bảng giá vận chuyển"",  là field required
- Group 6 ""Thông tin bốc xếp"": Tất cả các field là not required",7-Apr-26,,NY,,,7-Apr-26,DUYENNTM,
ID_053,,"Kiểm tra field required ""Mã báo giá"" là NULL
Group 1 ""Thông tin chung""","- Nhập/Paste giá trị = NULL
- Chọn button ""Thêm báo giá""","- Viền đỏ field để cảnh báo trạng thái lỗi
- Hệ thống thông báo - Error message: ""Vui lòng nhập mã báo giá""",7-Apr-26,,P,,,7-Apr-26,DUYENNTM,
